Iteration 0, Error: 0.35865
Iteration 1, Error: 0.1553
Iteration 2, Error: 0.0951014
Iteration 3, Error: 0.0643839
Iteration 4, Error: 0.045006
Iteration 5, Error: 0.0317314
Iteration 6, Error: 0.0224211
Iteration 7, Error: 0.0158512
Iteration 8, Error: 0.011208
Iteration 9, Error: 0.00792515
Iteration 10, Error: 0.00560391
Iteration 11, Error: 0.00396256
Iteration 12, Error: 0.00280195
Iteration 13, Error: 0.00198128
Iteration 14, Error: 0.00140098
Iteration 15, Error: 0.00099064
Iteration 16, Error: 0.000700488
Iteration 17, Error: 0.00049532
Iteration 18, Error: 0.000350244
Iteration 19, Error: 0.00024766
Iteration 20, Error: 0.000175122
Iteration 21, Error: 0.00012383
Iteration 22, Error: 8.7561e-005
Iteration 23, Error: 6.1915e-005
Iteration 24, Error: 4.37805e-005
Iteration 25, Error: 3.09575e-005
Iteration 26, Error: 2.18902e-005
Iteration 27, Error: 1.54787e-005
Iteration 28, Error: 1.09451e-005
Iteration 29, Error: 7.73937e-006
Iteration 30, Error: 5.47256e-006
Iteration 31, Error: 3.86969e-006
Iteration 32, Error: 2.73628e-006
Iteration 33, Error: 1.93484e-006
Iteration 34, Error: 1.36814e-006
Iteration 35, Error: 9.67421e-007
